group,species,mass_g,rmax_day
metazoan,Ceriodaphnia dubia,33.6,0.2
metazoan,Chydorus sphaericus,30.0,0.22
metazoan,Daphnia magna,885.0,0.24
metazoan,Etheostoma flabellare,1230000.0,0.01
metazoan,Etheostoma spectabile,538000.0,0.02
metazoan,Eurycercus longirostris,71.4,0.17
metazoan,Eurycercus vernalis,70.0,0.14
metazoan,Filinia pejleri,0.25,0.26
metazoan,Filinia terminalis,0.25,0.3
metazoan,Gadus morhua,15000000000.0,0.0
metazoan,Gobio gobio,9230000.0,0.01
metazoan,Hippoglossoides platessoides,277000000.0,0.01
metazoan,Leuciscus leuciscus,13800000.0,0.01
metazoan,Pimephales promelas,1770000.0,0.02
metazoan,Pleuroxus denticulatis,22.7,0.15
