a,s
0.0006,4
0.0009,13
0.0012,63
0.0016,2
0.0019,16
0.0024,14
0.0024,19
0.0024,11
0.0029,71
0.0032,50
0.0032,16
0.0037,13
0.0037,36
0.0041,22
0.0057,11
0.0063,16
0.0065,24
0.0069,42
0.007,13
0.0086,45
0.0091,32
0.0101,41
0.0113,17
0.0129,17
0.013,94
0.0139,68
0.0146,41
0.0156,55
0.0174,12
0.0176,44
0.0176,31
0.0188,16
0.0189,21
0.019,21
0.0216,81
0.0219,11
0.0221,52
0.0232,33
0.0247,42
0.0254,118
0.0263,49
0.0305,53
0.0324,35
0.0354,20
0.0366,54
0.0395,69
0.041,56
0.042,55
0.0422,37
0.0478,42
0.0493,57
0.0498,86
0.0548,69
0.0564,59
0.0585,57
0.0602,68
0.0731,62
0.0761,69
0.0776,71
0.0777,44
0.0896,82
0.0897,69
0.0926,17
0.0935,55
0.1022,31
0.1024,43
0.104,26
0.1237,79
0.1381,36
0.1537,43
0.1823,79
0.1851,66
0.2018,66
0.2145,73
0.2402,56
0.242,99
0.2454,54
0.2693,101
0.2882,30
0.2936,98
0.3443,85
0.3506,84
0.392,26
0.392,82
0.393,30
0.5347,68
1.1031,86
1.4303,77
1.4815,174
1.5493,213
2.0078,150
2.1642,119
2.8904,308
3.7592,198
4.2236,160
5.1217,287
5.7521,258
6.0901,271
6.1537,247
7.8163,143
7.8502,96
7.9093,271
8.3958,401
9.1899,458
9.4622,187
10.8403,407
12.9659,370
13.0761,363
14.2311,158
14.4807,406
14.7152,302
14.9253,519
15.1746,275
17.6051,233
17.6247,260
17.8386,370
18.6639,593
20.6109,292
20.7175,340
20.8552,468
24.4285,433
26.9176,440
29.9158,429
32.0348,469
33.7296,472
34.3685,410
34.7853,414
37.7612,513
38.1447,551
39.0803,356
40.2771,499
40.8485,529
41.4512,446
48.3936,422
48.6658,692
53.4943,557
58.0542,588
61.8271,530
63.4713,568
66.1106,576
73.2652,608
76.48,579
76.502,688
83.7966,834
86.0106,702
86.2175,612
96.3375,665
96.9083,570
96.9203,607
99.0069,606
108.6782,760
112.8262,608
119.1149,780
131.822,651
160.1116,757
180.9814,1289
196.1517,795
196.8238,841
209.8269,836
255.1578,950
277.4034,804
291.3223,1015
301.9582,1012
384.8428,1283
386.6387,983
436.144,1084
478.325,1340
479.2954,679
841.7847,1191
1405.1155,1294
1636.4716,1418
3660.7481,1702
8270.448,1751
