Area_AG,Area_SH,Area_QF,Spcs_AG,Spcs_SH,Spcs_QF,Spcs_UB
86508,86508,86508,44,12,26,8
0,4096,0,0,11,2,1
0,64,0,0,5,0,0
0,1,0,0,4,0,0
0,1,0,0,2,0,0
0,1,0,0,5,0,0
0,1,0,0,3,0,0
0,64,0,0,7,1,0
0,1,0,0,4,0,0
0,1,0,0,5,0,0
0,1,0,0,2,0,0
0,1,0,0,3,1,0
0,64,0,0,5,0,0
0,1,0,0,4,0,0
0,1,0,0,5,0,0
0,1,0,0,4,0,0
0,1,0,0,4,0,0
0,64,0,0,7,2,1
0,1,0,0,4,1,0
0,1,0,0,2,0,0
0,1,0,0,4,0,1
0,1,0,0,4,1,0
0,0,4096,2,5,20,6
0,0,64,1,0,10,1
0,0,1,0,0,3,0
0,0,1,0,0,6,1
0,0,1,0,0,8,0
0,0,1,1,0,5,0
0,0,64,2,2,11,3
0,0,1,0,1,4,0
0,0,1,0,1,6,1
0,0,1,2,1,4,2
0,0,1,1,1,3,1
0,0,64,1,4,8,3
0,0,1,1,2,3,0
0,0,1,0,2,5,2
0,0,1,0,2,3,0
0,0,1,1,3,2,2
0,0,64,1,1,11,4
0,0,1,0,1,2,2
0,0,1,0,1,3,1
0,0,1,1,0,6,1
0,0,1,1,0,5,2
4096,0,0,38,3,3,5
64,0,0,21,0,0,0
1,0,0,15,0,0,0
1,0,0,13,0,0,0
1,0,0,9,0,0,0
1,0,0,13,0,0,0
64,0,0,8,2,0,3
1,0,0,3,1,0,2
1,0,0,4,2,0,2
1,0,0,5,1,0,0
1,0,0,5,0,0,1
64,0,0,19,1,1,1
1,0,0,13,0,0,0
1,0,0,12,0,0,0
1,0,0,9,0,1,1
1,0,0,8,1,0,0
64,0,0,25,1,3,2
1,0,0,14,0,0,1
1,0,0,12,0,0,0
1,0,0,7,0,3,1
1,0,0,11,1,0,0
2048,0,2048,27,3,20,6
64,0,0,18,0,2,2
1,0,0,14,0,1,2
1,0,0,11,0,1,0
1,0,0,10,0,0,0
1,0,0,12,0,0,0
0,0,64,3,3,12,4
0,0,1,2,0,7,1
0,0,1,1,1,7,1
0,0,1,1,0,8,2
0,0,1,2,3,3,0
64,0,0,21,0,5,3
1,0,0,11,0,2,1
1,0,0,11,0,0,1
1,0,0,15,0,0,0
1,0,0,10,0,3,1
0,0,64,0,1,12,1
0,0,1,0,0,7,0
0,0,1,0,0,6,0
0,0,1,0,1,3,0
0,0,1,0,1,9,1
131072,0,131072,37,7,27,6
0,0,4096,2,4,19,4
0,0,64,1,1,12,2
0,0,1,1,1,7,1
0,0,1,1,0,5,1
0,0,1,1,1,6,1
0,0,1,1,0,8,0
0,0,64,2,2,9,2
0,0,1,1,1,4,1
0,0,1,1,2,5,0
0,0,1,1,2,5,1
0,0,1,2,1,6,2
0,0,64,1,4,10,3
0,0,1,1,3,7,1
0,0,1,1,2,5,0
0,0,1,1,1,5,1
0,0,1,1,3,3,3
0,0,64,1,3,11,2
0,0,1,1,3,3,1
0,0,1,1,2,4,1
0,0,1,1,2,7,1
0,0,1,1,2,4,0
4096,0,0,32,1,6,4
64,0,0,22,0,1,1
1,0,0,12,0,1,0
1,0,0,11,0,0,0
1,0,0,15,0,1,1
1,0,0,10,0,1,0
64,0,0,10,0,0,1
1,0,0,8,0,0,1
1,0,0,7,0,0,0
1,0,0,6,0,0,0
1,0,0,6,0,0,0
64,0,0,22,0,2,1
1,0,0,13,0,0,1
1,0,0,13,0,0,0
1,0,0,12,0,2,0
1,0,0,17,0,1,0
64,0,0,14,1,4,2
1,0,0,8,0,0,0
1,0,0,7,0,0,2
1,0,0,7,0,2,2
1,0,0,8,1,2,2
4096,0,0,31,1,5,3
64,0,0,22,0,2,1
1,0,0,12,0,2,0
1,0,0,11,0,0,0
1,0,0,12,0,0,1
1,0,0,11,0,0,0
64,0,0,22,0,3,2
1,0,0,16,0,2,0
1,0,0,12,0,0,1
1,0,0,10,0,0,1
1,0,0,11,0,1,1
64,0,0,17,1,0,2
1,0,0,12,0,0,1
1,0,0,9,0,0,1
1,0,0,10,0,0,0
1,0,0,7,1,0,2
64,0,0,17,0,3,2
1,0,0,11,0,1,0
1,0,0,10,0,0,2
1,0,0,10,0,0,1
1,0,0,12,0,2,1
0,0,4096,4,2,22,3
0,0,64,1,0,11,0
0,0,1,0,0,5,0
0,0,1,0,0,5,0
0,0,1,1,0,6,0
0,0,1,0,0,7,0
0,0,64,3,2,13,2
0,0,1,0,1,7,1
0,0,1,1,0,8,0
0,0,1,1,1,3,1
0,0,1,1,0,3,1
0,0,64,2,1,9,0
0,0,1,1,0,6,0
0,0,1,0,0,4,0
0,0,1,1,0,6,0
0,0,1,0,1,5,0
0,0,64,1,0,14,2
0,0,1,1,0,7,1
0,0,1,1,0,6,0
0,0,1,0,0,9,1
0,0,1,1,0,8,0
86508,86508,86508,39,15,24,8
0,0,4096,8,5,20,5
0,0,64,2,1,11,3
0,0,1,2,0,5,2
0,0,1,0,0,4,0
0,0,1,0,1,6,1
0,0,1,0,0,7,1
0,0,64,6,5,11,4
0,0,1,4,2,6,3
0,0,1,1,1,7,2
0,0,1,2,5,3,0
0,0,1,1,2,7,1
0,0,64,3,2,10,1
0,0,1,1,1,5,0
0,0,1,0,0,4,0
0,0,1,2,0,8,0
0,0,1,2,1,6,1
0,0,64,2,3,12,0
0,0,1,2,2,6,0
0,0,1,2,1,8,0
0,0,1,0,0,4,0
0,0,1,0,2,4,0
4096,0,0,35,0,5,5
64,0,0,22,0,4,2
1,0,0,11,0,2,0
1,0,0,13,0,1,1
1,0,0,14,0,3,0
1,0,0,15,0,3,2
64,0,0,20,0,1,2
1,0,0,14,0,0,2
1,0,0,15,0,1,1
1,0,0,15,0,0,0
1,0,0,13,0,0,0
64,0,0,20,0,4,4
1,0,0,14,0,2,1
1,0,0,13,0,2,3
1,0,0,14,0,0,1
1,0,0,12,0,1,1
64,0,0,26,0,1,1
1,0,0,12,0,1,1
1,0,0,15,0,0,1
1,0,0,17,0,0,0
1,0,0,14,0,0,1
0,4096,0,3,14,4,3
0,64,0,1,8,1,2
0,1,0,0,5,0,2
0,1,0,0,7,0,2
0,1,0,0,2,0,1
0,1,0,1,4,1,0
0,64,0,2,9,1,0
0,1,0,1,4,1,0
0,1,0,1,6,0,0
0,1,0,0,4,0,0
0,1,0,0,4,0,0
0,64,0,2,9,3,3
0,1,0,2,5,3,1
0,1,0,0,5,1,1
0,1,0,0,4,0,0
0,1,0,0,5,0,1
0,64,0,1,6,0,0
0,1,0,0,2,0,0
0,1,0,0,2,0,0
0,1,0,1,6,0,0
0,1,0,0,3,0,0
2048,0,2048,19,4,16,5
64,0,0,12,1,3,0
1,0,0,9,1,3,0
1,0,0,4,0,1,0
1,0,0,2,1,2,0
1,0,0,2,0,1,0
64,0,0,13,0,2,1
1,0,0,7,0,1,1
1,0,0,7,0,0,1
1,0,0,4,0,1,0
1,0,0,9,0,0,0
0,0,64,4,2,10,2
0,0,1,1,0,8,1
0,0,1,2,2,4,1
0,0,1,1,1,5,0
0,0,1,2,0,6,0
0,0,64,5,2,11,4
0,0,1,2,1,7,0
0,0,1,1,1,5,4
0,0,1,3,2,5,1
0,0,1,1,1,5,1
0,131072,131072,6,13,29,7
0,0,4096,3,8,26,6
0,0,64,2,8,10,5
0,0,1,0,3,5,2
0,0,1,1,2,5,2
0,0,1,1,4,4,3
0,0,1,1,2,4,3
0,0,64,1,2,19,2
0,0,1,1,0,7,1
0,0,1,0,0,11,0
0,0,1,0,2,10,1
0,0,1,0,1,8,1
0,0,64,0,2,14,3
0,0,1,0,2,9,2
0,0,1,0,1,7,2
0,0,1,0,1,8,2
0,0,1,0,0,3,1
0,0,64,0,2,13,2
0,0,1,0,2,5,0
0,0,1,0,2,6,2
0,0,1,0,0,9,0
0,0,1,0,0,5,0
0,4096,0,3,12,5,4
0,64,0,1,8,5,2
0,1,0,0,4,0,0
0,1,0,1,4,0,0
0,1,0,1,5,4,2
0,1,0,1,6,2,1
0,64,0,2,8,2,2
0,1,0,2,6,1,1
0,1,0,0,6,2,0
0,1,0,0,6,0,1
0,1,0,0,3,0,0
0,64,0,0,7,1,1
0,1,0,0,3,1,1
0,1,0,0,6,1,0
0,1,0,0,5,0,0
0,1,0,0,5,0,0
0,64,0,2,9,2,3
0,1,0,1,6,2,2
0,1,0,1,6,1,0
0,1,0,1,4,2,1
0,1,0,0,6,2,2
0,0,4096,5,4,22,3
0,0,64,0,3,12,2
0,0,1,0,2,5,0
0,0,1,0,1,6,0
0,0,1,0,0,9,0
0,0,1,0,2,5,2
0,0,64,5,2,11,2
0,0,1,1,1,6,0
0,0,1,1,1,3,0
0,0,1,3,0,4,1
0,0,1,1,0,6,1
0,0,64,0,2,11,2
0,0,1,0,0,5,0
0,0,1,0,2,4,1
0,0,1,0,1,5,1
0,0,1,0,2,8,1
0,0,64,0,1,20,0
0,0,1,0,0,8,0
0,0,1,0,1,9,0
0,0,1,0,0,7,0
0,0,1,0,0,9,0
0,4096,0,1,9,6,3
0,64,0,0,7,3,2
0,1,0,0,3,1,1
0,1,0,0,5,1,1
0,1,0,0,2,2,1
0,1,0,0,4,1,2
0,64,0,0,7,2,0
0,1,0,0,5,1,0
0,1,0,0,5,2,0
0,1,0,0,5,0,0
0,1,0,0,6,0,0
0,64,0,1,8,3,3
0,1,0,0,3,1,2
0,1,0,1,3,1,2
0,1,0,0,4,1,2
0,1,0,0,5,2,2
0,64,0,0,7,1,0
0,1,0,0,3,0,0
0,1,0,0,3,0,0
0,1,0,0,6,1,0
0,1,0,0,5,0,0
131072,131072,0,46,13,9,7
0,4096,0,7,9,3,3
0,64,0,3,6,0,1
0,1,0,3,4,0,0
0,1,0,1,5,0,0
0,1,0,2,4,0,0
0,1,0,2,4,0,1
0,64,0,3,7,2,2
0,1,0,0,4,0,0
0,1,0,0,5,1,1
0,1,0,1,3,1,0
0,1,0,2,4,0,1
0,64,0,4,9,0,0
0,1,0,0,3,0,0
0,1,0,2,6,0,0
0,1,0,0,3,0,0
0,1,0,3,5,0,0
0,64,0,2,6,3,2
0,1,0,1,2,2,1
0,1,0,0,3,1,2
0,1,0,0,3,0,0
0,1,0,2,4,0,0
0,4096,0,8,13,0,3
0,64,0,3,9,0,2
0,1,0,1,4,0,2
0,1,0,2,7,0,0
0,1,0,1,5,0,0
0,1,0,0,3,0,1
0,64,0,5,9,0,3
0,1,0,2,4,0,1
0,1,0,3,4,0,0
0,1,0,2,4,0,0
0,1,0,1,3,0,2
0,64,0,2,3,0,2
0,1,0,0,2,0,1
0,1,0,0,3,0,1
0,1,0,0,3,0,1
0,1,0,2,2,0,0
0,64,0,2,9,0,1
0,1,0,0,5,0,0
0,1,0,1,2,0,1
0,1,0,0,5,0,1
0,1,0,1,5,0,0
4096,0,0,39,0,2,4
64,0,0,25,0,1,3
1,0,0,10,0,1,2
1,0,0,8,0,0,2
1,0,0,11,0,0,0
1,0,0,15,0,0,1
64,0,0,25,0,1,1
1,0,0,14,0,1,0
1,0,0,13,0,0,1
1,0,0,13,0,0,0
1,0,0,12,0,0,0
64,0,0,18,0,0,1
1,0,0,11,0,0,0
1,0,0,10,0,0,1
1,0,0,12,0,0,0
1,0,0,13,0,0,0
64,0,0,16,0,0,1
1,0,0,15,0,0,0
1,0,0,7,0,0,1
1,0,0,8,0,0,0
1,0,0,9,0,0,1
4096,0,0,35,0,5,4
64,0,0,22,0,1,2
1,0,0,5,0,0,1
1,0,0,11,0,0,0
1,0,0,14,0,0,1
1,0,0,12,0,1,0
64,0,0,18,0,2,2
1,0,0,13,0,0,1
1,0,0,15,0,1,1
1,0,0,5,0,1,0
1,0,0,4,0,0,0
64,0,0,19,0,1,1
1,0,0,7,0,0,1
1,0,0,9,0,0,0
1,0,0,11,0,1,0
1,0,0,10,0,0,0
64,0,0,20,0,1,2
1,0,0,7,0,1,0
1,0,0,13,0,0,1
1,0,0,11,0,0,0
1,0,0,10,0,0,2
