M_L,a0,a0_err
0.3,1.8101570160194938e-09,7.920917623664498e-11
0.39999999999999997,1.0182273282639905e-09,5.2213135973173015e-11
0.5,5.429301119701698e-10,3.565534998007927e-11
0.6,2.472690099511521e-10,2.4383663250365634e-11
0.7,7.799948674613011e-11,1.6181432016458554e-11
0.7999999999999999,8.485085423896159e-12,9.946937533857992e-12
0.8999999999999999,-1.7661392877431402e-13,5.151157951805862e-12
1.0,-2.0774415695885045e-13,5.096974862509517e-12
1.0999999999999999,-2.2774065792880276e-13,5.6386830334727966e-12
1.2,-2.2973463126081294e-13,5.804386657720485e-12
1.2999999999999998,-2.3167227390295703e-13,7.306318342302903e-12
1.4,-2.337313772032734e-13,4.256201643672052e-12
1.5,-2.3565132187598775e-13,8.5325499980148e-12
1.5999999999999999,-2.377015409758938e-13,5.076043029685533e-12
1.7,-2.3968273454055437e-13,5.859053485016339e-12
1.7999999999999998,-2.4164470797291883e-13,9.088624717796992e-12
1.9,-2.4364030037418844e-13,8.790425549689821e-12
2.0,-2.456417730781149e-13,3.2392191101112667e-12
