galaxy,n_pts,V_max,best,c_nfw,nfw_sane,ein_ok,chi2_nfw,chi2_bur,chi2_ein
CamB,9,20.1,Burkert,10.0,True,True,1.913895285714286,1.913895285714285,2.2328778333333337
D631-7,16,58.5,Burkert,10.0,True,True,23.807277214285712,23.807277214285705,25.63860623076923
DDO064,14,46.9,Burkert,10.0,True,True,14.713403416666665,14.71340341666666,16.050985545454544
DDO154,12,48.2,Burkert,10.0,True,True,18.9118,18.911799999999992,21.01311111111111
DDO161,31,67.5,Burkert,10.0,True,True,29.178982758620688,29.17898275862068,30.22108928571428
DDO168,10,55.0,Burkert,10.0,True,True,23.895625,23.895624999999992,27.309285714285714
IC2574,34,67.5,Burkert,10.0,True,True,22.547860050221065,22.54786005022106,23.275210374421743
KK98-251,15,34.6,Burkert,10.0,True,True,6.540239769230769,6.540239769230767,7.08525975
NGC2366,26,53.7,Burkert,10.0,True,True,20.033278375,20.03327837499999,20.90429047826087
NGC3109,25,67.3,Burkert,10.0,True,True,26.47898695652174,26.478986956521734,27.682577272727272
NGC3741,21,51.6,Burkert,10.0,True,True,15.873957894736844,15.87395789473684,16.755844444444445
UGC01281,25,56.9,Burkert,10.0,True,True,16.25466252173913,16.254662521739125,16.993510818181818
UGC02455,8,61.0,Burkert,10.0,True,True,21.214866666666666,21.214866666666662,25.457839999999997
UGC04305,22,37.3,Burkert,10.0,True,True,10.773089449999999,10.773089449999995,11.340094157894736
UGC04483,8,24.3,Burkert,10.0,True,True,5.013103500000001,5.013103499999999,6.0157242
UGC05764,10,55.8,Burkert,10.0,True,True,27.5969,27.596899999999998,31.539314285714287
UGC05829,11,68.6,NFW,10.0,True,True,29.398399999999995,29.398399999999995,33.07319999999999
UGC05918,8,44.5,Burkert,10.0,True,True,17.600116666666665,17.60011666666666,21.12014
UGC07577,9,17.8,Burkert,10.0,True,True,1.7308802857142855,1.730880285714285,2.019360333333333
UGC08837,8,48.0,Burkert,10.0,True,True,15.1130935,15.113093499999993,18.1357122
UGCA442,8,57.8,Burkert,10.0,True,True,29.697816666666665,29.697816666666657,35.63737999999999
UGCA444,36,38.3,Burkert,10.0,True,True,8.111791294117648,8.111791294117646,8.357603151515152
