Ud,Ub,rms_RAR
0.2,0.2,0.2868487389129148
0.2,0.30000000000000004,0.26688424816729756
0.2,0.4,0.25385795689181995
0.2,0.5,0.24511089678954653
0.2,0.6000000000000001,0.23928070895703857
0.2,0.7,0.23555484156975523
0.2,0.8,0.23340108775748825
0.2,0.9000000000000001,0.23244867501142122
0.2,1.0,0.23242816798848834
0.2,1.1,0.23313788258348186
0.2,1.2,0.23442358987596246
0.2,1.3,0.23616546975189276
0.2,1.4000000000000001,0.2382693059144987
0.2,1.5,0.24066031234950433
0.30000000000000004,0.2,0.24973125906087518
0.30000000000000004,0.30000000000000004,0.2317227967277878
0.30000000000000004,0.4,0.2203418374690173
0.30000000000000004,0.5,0.21308813287609812
0.30000000000000004,0.6000000000000001,0.20865626935329307
0.30000000000000004,0.7,0.20625404833043737
0.30000000000000004,0.8,0.20535539448539405
0.30000000000000004,0.9000000000000001,0.2055905538023892
0.30000000000000004,1.0,0.20668989988178957
0.30000000000000004,1.1,0.2084519334258895
0.30000000000000004,1.2,0.21072349432228318
0.30000000000000004,1.3,0.2133867374591609
0.30000000000000004,1.4000000000000001,0.21635015637829164
0.30000000000000004,1.5,0.21954218695556996
0.4,0.2,0.23226010550036383
0.4,0.30000000000000004,0.21644497037487004
0.4,0.4,0.20687279790865198
0.4,0.5,0.2011791735741566
0.4,0.6000000000000001,0.19811672238389308
0.4,0.7,0.19692417849359856
0.4,0.8,0.19709588136349931
0.4,0.9000000000000001,0.19827808685055812
0.4,1.0,0.2002150412667603
0.4,1.1,0.20271775735929823
0.4,1.2,0.205644447776416
0.4,1.3,0.20888754781222335
0.4,1.4000000000000001,0.2123647574472282
0.4,1.5,0.2160126813010341
0.5,0.2,0.22706331664971857
0.5,0.30000000000000004,0.2135286230813662
0.5,0.4,0.20575040861847957
0.5,0.5,0.2015093510523929
0.5,0.6000000000000001,0.19963457685028757
0.5,0.7,0.19941565465131597
0.5,0.8,0.20038540742066782
0.5,0.9000000000000001,0.20222104013076272
0.5,1.0,0.2046922459851933
0.5,1.1,0.20763106182195198
0.5,1.2,0.21091304217842785
0.5,1.3,0.2144448816871256
0.5,1.4000000000000001,0.2181559728739171
0.5,1.5,0.221992492084634
0.6000000000000001,0.2,0.22952692808063851
0.6000000000000001,0.30000000000000004,0.2181283064688759
0.6000000000000001,0.4,0.21194572055670105
0.6000000000000001,0.5,0.20892232277916145
0.6000000000000001,0.6000000000000001,0.2079809927922429
0.6000000000000001,0.7,0.2084757522349141
0.6000000000000001,0.8,0.209987450360184
0.6000000000000001,0.9000000000000001,0.2122302986426896
0.6000000000000001,1.0,0.21500286389897535
0.6000000000000001,1.1,0.21815980188655235
0.6000000000000001,1.2,0.22159440698588845
0.6000000000000001,1.3,0.22522729599648914
0.6000000000000001,1.4000000000000001,0.22899879821805977
0.6000000000000001,1.5,0.23286369480770794
0.7,0.2,0.23688485795868408
0.7,0.30000000000000004,0.22735934977584335
0.7,0.4,0.22250785004748252
0.7,0.5,0.2204472684706539
0.7,0.6000000000000001,0.2202018781664986
0.7,0.7,0.22119385513065232
0.7,0.8,0.2230529366641704
0.7,0.9000000000000001,0.22552948580514282
0.7,1.0,0.22844920728637863
0.7,1.1,0.23168729829908175
0.7,1.2,0.23515268653278149
0.7,1.3,0.2387779377280328
0.7,1.4000000000000001,0.24251254885285856
0.7,1.5,0.2463183599667915
0.8,0.2,0.2471965534454366
0.8,0.30000000000000004,0.2392434493176921
0.8,0.4,0.23546145308866231
0.8,0.5,0.2341395831789406
0.8,0.6000000000000001,0.23440068583921478
0.8,0.7,0.23573108751814964
0.8,0.8,0.23780498434740893
0.8,0.9000000000000001,0.24040460590597906
0.8,1.0,0.24337895448662158
0.8,1.1,0.24662048177021872
0.8,1.2,0.25005101422658055
0.8,1.3,0.253612830847195
0.8,1.4000000000000001,0.2572627870493438
0.8,1.5,0.2609683256072962
0.9000000000000001,0.2,0.25921044803025817
0.9000000000000001,0.30000000000000004,0.25254970765746315
0.9000000000000001,0.4,0.24961432295974065
0.9000000000000001,0.5,0.24885413874494505
0.9000000000000001,0.6000000000000001,0.2494818333839882
0.9000000000000001,0.7,0.2510405217207834
0.9000000000000001,0.8,0.2532427145695401
0.9000000000000001,0.9000000000000001,0.2558974934207635
0.9000000000000001,1.0,0.2588731421619971
0.9000000000000001,1.1,0.2620761934818375
0.9000000000000001,1.2,0.2654388861972017
0.9000000000000001,1.3,0.2689112738310853
0.9000000000000001,1.4000000000000001,0.27245606183755566
0.9000000000000001,1.5,0.2760451223587562
1.0,0.2,0.27213445411361376
1.0,0.30000000000000004,0.26652850991004334
1.0,0.4,0.2642620881154896
1.0,0.5,0.263929952556335
1.0,0.6000000000000001,0.26482384868072734
1.0,0.7,0.2665357163576473
1.0,0.8,0.26881034974091966
1.0,0.9000000000000001,0.2714790920719266
1.0,1.0,0.27442601504189806
1.0,1.1,0.27756907400780617
1.0,1.2,0.28084889687315795
1.0,1.3,0.28422177009625654
1.0,1.4000000000000001,0.2876550725050494
1.0,1.5,0.2911242055176164
1.1,0.2,0.2854729306789108
1.1,0.30000000000000004,0.28072881504016234
1.1,0.4,0.2789936407769468
1.1,0.5,0.2789901612784749
1.1,0.6000000000000001,0.2800785737409095
1.1,0.7,0.2818923180054092
1.1,0.8,0.2842032144556864
1.1,0.9000000000000001,0.2868610237358784
1.1,1.0,0.2897627639585567
1.1,1.1,0.2928356977699691
1.1,1.2,0.29602725830608745
1.1,1.3,0.29929877332699806
1.1,1.4000000000000001,0.30262139466694105
1.1,1.5,0.3059733701664192
1.2,0.2,0.2989179202076461
1.2,0.30000000000000004,0.294881737603704
1.2,0.4,0.29357190942840694
1.2,0.5,0.29382315184322616
1.2,0.6000000000000001,0.2950545704215476
1.2,0.7,0.29693480921378845
1.2,0.8,0.2992583509719563
1.2,0.9000000000000001,0.30189026406129915
1.2,1.0,0.3047382577098208
1.2,1.1,0.3077372457628105
1.2,1.2,0.3108402389923447
1.2,1.3,0.3140126896424441
1.2,1.4000000000000001,0.31722883365465165
1.2,1.5,0.3204692450889386
1.3,0.2,0.3122795747614407
1.3,0.30000000000000004,0.3088292134918765
1.3,0.4,0.307863138346859
1.3,0.5,0.30831370138996006
1.3,0.6000000000000001,0.30965069964069547
1.3,0.7,0.3115727292051649
1.3,0.8,0.3138933820120368
1.3,0.9000000000000001,0.31649054719111447
1.3,1.0,0.3192808446959824
1.3,1.1,0.3222055442522405
1.3,1.2,0.325222280297653
1.3,1.3,0.3282999202684339
1.3,1.4000000000000001,0.3314152528625966
1.3,1.5,0.33455077795080435
1.4000000000000001,0.2,0.3254424943857355
1.4000000000000001,0.30000000000000004,0.3224808744610226
1.4000000000000001,0.4,0.3217952557550993
1.4000000000000001,0.5,0.3224031876315799
1.4000000000000001,0.6000000000000001,0.32381822408272093
1.4000000000000001,0.7,0.3257645829233456
1.4000000000000001,0.8,0.32807208726528964
1.4000000000000001,0.9000000000000001,0.3306294587490648
1.4000000000000001,1.0,0.333360817906696
1.4000000000000001,1.1,0.33621277103730585
1.4000000000000001,1.2,0.3391468288150097
1.4000000000000001,1.3,0.34213471968113374
1.4000000000000001,1.4000000000000001,0.3451553706019322
1.4000000000000001,1.5,0.34819289516155855
1.5,0.2,0.3383384434444051
1.5,0.30000000000000004,0.3357879516657253
1.5,0.4,0.3353332366103569
1.5,0.5,0.3360663998737532
1.5,0.6000000000000001,0.3375389471791725
1.5,0.7,0.33949715676310527
1.5,0.8,0.3417847476963915
1.5,0.9000000000000001,0.3442996766189812
1.5,1.0,0.346972439469069
1.5,1.1,0.3497541696389246
1.5,1.2,0.3526096622676049
1.5,1.3,0.35551306879666217
1.5,1.4000000000000001,0.3584451271277034
1.5,1.5,0.361391318108837
