galaxy,n_pts,hook_fraction,sign_changes,hook_points,mean_resid
CamB,9,0.625,0,5,-11.456855778028755
D564-8,6,0.2,1,1,-11.165100290502329
D631-7,16,0.5333333333333333,1,8,-10.793953628921752
DDO064,14,0.07692307692307693,3,1,-10.608942072162934
DDO154,12,0.36363636363636365,1,4,-10.791996674426073
DDO161,31,0.23333333333333334,6,7,-10.844497003325536
DDO168,10,0.4444444444444444,1,4,-10.590206492555557
DDO170,8,0.14285714285714285,1,1,-10.862710822749072
ESO079-G014,15,0.35714285714285715,2,5,-10.126793762931488
ESO116-G012,15,0.14285714285714285,3,2,-10.214086023753064
ESO444-G084,7,0.16666666666666666,1,1,-10.356036271326047
ESO563-G021,30,0.10344827586206896,1,3,-9.857764330266091
F561-1,6,0.2,1,1,-10.928784819885669
F563-1,17,0.3125,3,5,-10.47891962982106
F563-V1,6,0.0,1,0,-11.338428949760953
F563-V2,10,0.0,1,0,-10.24844419226564
F565-V2,7,0.16666666666666666,1,1,-10.626615178574312
F567-2,5,0.25,0,1,-10.91694179813646
F568-1,12,0.2727272727272727,1,3,-10.220227535325822
F568-3,18,0.11764705882352941,1,2,-10.534070979683046
F568-V1,15,0.14285714285714285,1,2,-10.269415567947528
F571-8,13,0.25,3,3,-10.221450298196086
F571-V1,7,0.16666666666666666,1,1,-10.65872412173558
F574-1,14,0.15384615384615385,1,2,-10.4458887359129
F574-2,5,0.25,0,1,-11.40148739764018
F579-V1,14,0.0,1,0,-10.186959026376021
F583-1,25,0.16666666666666666,2,4,-10.671561416259252
F583-4,12,0.2727272727272727,4,3,-10.61726882059583
IC2574,34,0.24242424242424243,11,8,-10.964442666021236
IC4202,32,0.2903225806451613,1,9,-9.850902503310902
KK98-251,15,0.07142857142857142,1,1,-11.036542863007403
NGC0024,29,0.21428571428571427,5,6,-9.905711663513314
NGC0055,21,0.2,1,4,-10.598072448163427
NGC0100,21,0.25,1,5,-10.502366494159299
NGC0247,26,0.04,3,1,-10.467026521328714
NGC0289,28,0.07407407407407407,0,2,-10.330339882664129
NGC0300,25,0.20833333333333334,5,5,-10.42120301057159
NGC0801,13,0.08333333333333333,1,1,-9.904017894083195
NGC0891,18,0.0,0,0,-9.681174281828216
NGC1003,36,0.08571428571428572,0,3,-10.607024831453682
NGC1090,24,0.17391304347826086,1,4,-10.216010422474618
NGC1705,14,0.0,0,0,-10.176958778272219
NGC2366,26,0.16,1,4,-10.746337176664902
NGC2403,73,0.1527777777777778,3,11,-10.07013514620806
NGC2683,11,0.1,0,1,-10.159377399739418
NGC2841,50,0.02040816326530612,0,1,-9.735480103136172
NGC2903,34,0.18181818181818182,3,6,-9.809513941346825
NGC2915,30,0.27586206896551724,1,8,-10.401821030471561
NGC2955,24,0.08695652173913043,0,2,-9.62020975708043
NGC2976,27,0.07692307692307693,3,2,-10.138347973530385
NGC2998,13,0.0,0,0,-9.855663743753107
NGC3109,25,0.20833333333333334,3,5,-10.707512925013075
NGC3198,43,0.14285714285714285,5,6,-10.234802260637585
NGC3521,41,0.075,0,3,-9.405609119035724
NGC3726,12,0.2727272727272727,1,3,-10.241561327350507
NGC3741,21,0.2,4,4,-10.7747732542475
NGC3769,12,0.0,0,0,-10.398805091021801
NGC3877,13,0.25,1,3,-9.923521036277553
NGC3893,10,0.0,0,0,-9.903502618400037
NGC3917,17,0.0625,1,1,-10.23144440266325
NGC3949,7,0.0,0,0,-9.722797327679297
NGC3953,8,0.0,0,0,-9.768726861143193
NGC3972,10,0.1111111111111111,1,1,-10.088968061325206
NGC3992,9,0.0,0,0,-10.072919678221634
NGC4010,12,0.45454545454545453,1,5,-10.216392906936822
NGC4013,36,0.05714285714285714,0,2,-10.203627146303925
NGC4051,7,0.0,0,0,-9.952383995272656
NGC4068,6,0.2,0,1,-10.884383132056769
NGC4085,7,0.3333333333333333,1,2,-9.95066147195254
NGC4088,12,0.09090909090909091,1,1,-10.050755629764758
NGC4100,24,0.043478260869565216,1,1,-10.043874614238026
NGC4138,7,0.0,0,0,-10.008185447793796
NGC4157,17,0.0,1,0,-10.082034626567733
NGC4183,23,0.0,0,0,-10.408402194935805
NGC4214,14,0.0,0,0,-10.08527908577168
NGC4217,19,0.05555555555555555,1,1,-9.909400079233272
NGC4389,6,1.0,0,5,-10.265226735951147
NGC4559,32,0.06451612903225806,0,2,-10.343909481996892
NGC5005,18,0.0,0,0,-9.290883532409845
NGC5033,22,0.0,0,0,-10.007678528491924
NGC5055,28,0.0,0,0,-10.041182618505584
NGC5371,19,0.0,0,0,-9.9764607539653
NGC5585,24,0.17391304347826086,3,4,-10.374019573822258
NGC5907,19,0.0,0,0,-10.167305391824609
NGC5985,33,0.0625,0,2,-9.721001926473422
NGC6015,44,0.09302325581395349,3,4,-10.100395914251388
NGC6195,23,0.09090909090909091,0,2,-9.747784508949607
NGC6503,31,0.03333333333333333,0,1,-10.349947822592712
NGC6674,15,0.0,0,0,-10.147152503095196
NGC6946,58,0.08771929824561403,2,5,-9.949757754102993
NGC7331,36,0.02857142857142857,0,1,-9.876804649567578
NGC7793,46,0.3333333333333333,5,15,-9.968653028623644
NGC7814,18,0.0,0,0,-9.669023198026515
PGC51017,6,0.0,0,0,-11.11305686484775
UGC00128,22,0.09523809523809523,1,2,-10.682909113398653
UGC00191,9,0.375,1,3,-10.338979382659748
UGC00731,12,0.0,0,0,-10.616334453114286
UGC00891,5,0.5,1,2,-10.73899494966823
UGC01230,11,0.2,1,2,-10.560463359371546
UGC01281,23,0.13636363636363635,1,3,-10.721604517726364
UGC02023,5,0.75,0,3,-10.72388960030924
UGC02259,8,0.0,0,0,-10.277137525957794
UGC02455,8,0.7142857142857143,1,5,-10.686372756372554
UGC02487,17,0.0,0,0,-9.910701875212283
UGC02885,19,0.0,0,0,-10.014852224639405
UGC02916,43,0.0,0,0,-9.671542935760522
UGC02953,115,0.017543859649122806,0,2,-9.43667233958076
UGC03205,48,0.0,0,0,-9.72167443620411
UGC03546,30,0.0,0,0,-9.532705260462489
UGC03580,47,0.06521739130434782,2,3,-10.080055463753034
UGC04278,25,0.25,2,6,-10.517744037152584
UGC04305,22,0.19047619047619047,3,4,-10.970720224716096
UGC04325,8,0.0,1,0,-10.116896905752048
UGC04483,8,0.14285714285714285,1,1,-10.747775514342734
UGC04499,9,0.25,1,2,-10.534783836457056
UGC05005,11,0.1,1,1,-10.799404511854744
UGC05253,73,0.0,0,0,-9.397441689019294
UGC05414,6,0.2,1,1,-10.543642586412075
UGC05716,12,0.0,0,0,-10.623225124897163
UGC05721,23,0.09090909090909091,3,2,-10.091455594220083
UGC05750,11,0.1,1,1,-10.978636962951272
UGC05764,10,0.0,1,0,-10.414735328717434
UGC05829,11,0.0,2,0,-10.71511127299401
UGC05918,8,0.0,1,0,-10.750055670908361
UGC05986,15,0.21428571428571427,1,3,-10.172837362396546
UGC05999,5,0.25,1,1,-10.63064471357917
UGC06399,9,0.125,1,1,-10.427484736672163
UGC06446,17,0.0625,1,1,-10.407039968559564
UGC06614,13,0.0,0,0,-10.21318098710119
UGC06628,7,0.0,0,0,-10.884202783913748
UGC06667,9,0.0,1,0,-10.434757658067404
UGC06786,45,0.0,0,0,-9.60662216205228
UGC06787,71,0.02857142857142857,1,2,-9.473917809377415
UGC06818,8,0.7142857142857143,1,5,-10.651351837476168
UGC06917,11,0.1,0,1,-10.28530777491132
UGC06923,6,0.2,0,1,-10.295639239574266
UGC06930,10,0.1111111111111111,0,1,-10.421601843439957
UGC06973,9,0.0,0,0,-9.671633363458376
UGC06983,17,0.0625,1,1,-10.35931473123662
UGC07089,12,0.2727272727272727,1,3,-10.63302054803145
UGC07125,13,0.0,1,0,-10.916770211134358
UGC07151,11,0.1,1,1,-10.327269315981221
UGC07261,7,0.0,0,0,-10.351946583972946
UGC07323,10,0.2222222222222222,1,2,-10.414853397262014
UGC07399,10,0.1111111111111111,0,1,-10.060603890917825
UGC07524,31,0.13333333333333333,5,4,-10.585106714653236
UGC07559,7,0.5,1,3,-10.892844215019668
UGC07577,9,0.375,0,3,-11.418596119754646
UGC07603,12,0.2727272727272727,1,3,-10.344286227864579
UGC07608,8,0.14285714285714285,1,1,-10.538262884075008
UGC07690,7,0.0,0,0,-10.288962062740476
UGC07866,7,0.3333333333333333,1,2,-10.789993885064865
UGC08286,17,0.0,1,0,-10.331949360441198
UGC08490,30,0.0,0,0,-10.356565150679144
UGC08550,11,0.0,0,0,-10.493625286338833
UGC08699,41,0.0,0,0,-9.657277653365089
UGC08837,8,0.2857142857142857,0,2,-10.951912408977819
UGC09037,22,0.19047619047619047,1,4,-10.33203643263409
UGC09133,68,0.0,0,0,-9.800913394914923
UGC09992,5,0.0,0,0,-10.787780897558932
UGC10310,7,0.0,1,0,-10.492509013940905
UGC11455,36,0.2571428571428571,5,9,-9.854936895537088
UGC11557,12,0.45454545454545453,1,5,-10.690300611000092
UGC11820,10,0.0,1,0,-10.574110636332712
UGC11914,65,0.0,0,0,-9.058334162476338
UGC12506,31,0.03333333333333333,0,1,-10.05674528801472
UGC12632,15,0.0,1,0,-10.625464609307624
UGC12732,16,0.06666666666666667,1,1,-10.571481278783292
UGCA281,7,0.16666666666666666,1,1,-10.53694194829883
UGCA442,8,0.14285714285714285,1,1,-10.673619938921393
UGCA444,36,0.34285714285714286,11,12,-10.759151699327012
