complexity,loss,equation,score,sympy_format,lambda_format,seed
1,0.28162697,x0,0.0,x0,PySRFunction(X=>x0),0
3,0.08130051,x0 * 0.95779425,0.6212155521243719,x0*0.95779425,PySRFunction(X=>x0*0.95779425),0
5,0.037888132,(-72.89227 / x0) + -17.075296,0.3817571831943229,-17.075296 - 72.89227/x0,PySRFunction(X=>-17.075296 - 72.89227/x0),0
7,0.03784583,(-94.9552 / (x0 - 1.4368637)) + -18.082968,0.0005585605622912847,-18.082968 - 94.9552/(x0 - 1*1.4368637),PySRFunction(X=>-18.082968 - 94.9552/(x0 - 1*1.4368637)),0
9,0.037845805,((-94.97714 / (x0 - 1.4399571)) + -18.175499) - -0.0927921,3.3028748809211496e-07,-18.175499 - 1*(-0.0927921) - 94.97714/(x0 - 1*1.4399571),PySRFunction(X=>-18.175499 - 1*(-0.0927921) - 94.97714/(x0 - 1*1.4399571)),0
10,0.0378134,(((6.9021385e-6 / exp(x0)) + -70.63183) / x0) + -16.828918,0.000856604347917547,-16.828918 + (-70.63183 + 6.9021385e-6/exp(x0))/x0,PySRFunction(X=>-16.828918 + (-70.63183 + 6.9021385e-6/exp(x0))/x0),0
12,0.03777448,(((-117.86204 / x0) - x0) + -29.786037) + (cube(x0) * 0.0017822086),0.0005148974073552554,x0**3*0.0017822086 - x0 - 29.786037 - 117.86204/x0,PySRFunction(X=>x0**3*0.0017822086 - x0 - 29.786037 - 117.86204/x0),0
1,0.28162697,x0,0.0,x0,PySRFunction(X=>x0),1
3,0.08130051,x0 * 0.95779425,0.6212155521243719,x0*0.95779425,PySRFunction(X=>x0*0.95779425),1
5,0.037888132,(-72.89225 / x0) + -17.075294,0.3817571831943229,-17.075294 - 72.89225/x0,PySRFunction(X=>-17.075294 - 72.89225/x0),1
7,0.03784829,(-90.37041 / (x0 - 1.1551012)) + -17.882812,0.0005260613404115735,-17.882812 - 90.37041/(x0 - 1*1.1551012),PySRFunction(X=>-17.882812 - 90.37041/(x0 - 1*1.1551012)),1
9,0.03783381,(x0 * 0.10685123) + ((-61.69122 / x0) + -14.88027),0.00019132661721437655,x0*0.10685123 - 14.88027 - 61.69122/x0,PySRFunction(X=>x0*0.10685123 - 14.88027 - 61.69122/x0),1
12,0.03782801,log10(sqrt(cube(square(cube(22.21339 / (x0 + 4.5979447)))))) - 15.309847,5.110459508163448e-05,log10(1316841710299.89*sqrt((x0 + 4.5979447)**(-18))) - 15.309847,PySRFunction(X=>log10(1316841710299.89*sqrt((x0 + 4.5979447)**(-18))) - 15.309847),1
13,0.037759054,((x0 * ((x0 * -0.11571823) + -3.4289198)) + -50.720444) + (-182.19157 / x0),0.0018245455103098062,x0*(x0*(-0.11571823) - 3.4289198) - 50.720444 - 182.19157/x0,PySRFunction(X=>x0*(x0*(-0.11571823) - 3.4289198) - 50.720444 - 182.19157/x0),1
17,0.037758514,(-192.1879 / x0) + (-53.677204 - (log10(exp((x0 * x0) * 0.28820455)) + (x0 * 3.7190645))),3.5753270021304755e-06,-(x0*3.7190645 + log10(exp(x0*x0*0.28820455))) - 53.677204 - 192.1879/x0,PySRFunction(X=>-(x0*3.7190645 + log10(exp(x0*x0*0.28820455))) - 53.677204 - 192.1879/x0),1
1,0.28162697,x0,0.0,x0,PySRFunction(X=>x0),2
3,0.08130051,x0 * 0.95779425,0.6212155521243719,x0*0.95779425,PySRFunction(X=>x0*0.95779425),2
5,0.037888132,-17.075514 - (72.894554 / x0),0.3817571831943229,-17.075514 - 72.894554/x0,PySRFunction(X=>-17.075514 - 72.894554/x0),2
7,0.037846517,-18.44616 - (103.653564 / (x0 - 1.959165)),0.0005494843474920962,-18.44616 - 103.653564/(x0 - 1*1.959165),PySRFunction(X=>-18.44616 - 103.653564/(x0 - 1*1.959165)),2
9,0.037833784,(x0 * 0.109087646) + (-14.833988 - (61.453117 / x0)),0.0001682472182575615,x0*0.109087646 - 14.833988 - 61.453117/x0,PySRFunction(X=>x0*0.109087646 - 14.833988 - 61.453117/x0),2
10,0.03782391,-16.929201 - ((71.5613 / x0) + exp(-14.758444 - x0)),0.0002610177374969755,-(exp(-x0 - 14.758444) + 71.5613/x0) - 16.929201,PySRFunction(X=>-(exp(-x0 - 14.758444) + 71.5613/x0) - 16.929201),2
12,0.03781424,-8.3843 - ((70.75392 / x0) + (exp(-14.417734 - x0) + 8.460213)),0.0001278455389599958,-(exp(-x0 - 14.417734) + 8.460213 + 70.75392/x0) - 8.3843,PySRFunction(X=>-(exp(-x0 - 14.417734) + 8.460213 + 70.75392/x0) - 8.3843),2
18,0.037814215,((x0 / x0) + -8.883827) - ((exp((-14.457699 - x0) + 0.043393414) + (70.741135 / x0)) + 8.9593725),1.1018780342730758e-07,-(exp(-x0 - 14.457699 + 0.043393414) + 8.9593725 + 70.741135/x0) - 8.883827 + x0/x0,PySRFunction(X=>-(exp(-x0 - 14.457699 + 0.043393414) + 8.9593725 + 70.741135/x0) - 8.883827 + x0/x0),2
